ServiceName;ServiceTyp;ExportDocumentum;;AutoProkey
IM_EXPDOCUMENTUM;ExportDocumentum;IM_EXPDOCUMENTUM;;IM_AUTOPROKEY_NK1
IM_EXPDOCUMENTUM2LICHT;ExportDocumentum;IM_EXPDOCUMENTUM2LICHT;;IM_AUTOPROKEY_NK2_ALL
IM_EXPDOCUMENTUM2UELL;ExportDocumentum;IM_EXPDOCUMENTUM2UELL;;IM_AUTOPROKEY_NK2_HOCH
IM_EXPDOCUMENTUM3LICHT;ExportDocumentum;IM_EXPDOCUMENTUM3LICHT;;IM_AUTOPROKEY_NK2_MITTEL
IM_EXPDOCUMENTUM3UELL;ExportDocumentum;IM_EXPDOCUMENTUM3UELL;;IM_AUTOPROKEY_NK2_NIEDRIG
IM_IMGEXPORT;Image;;;IM_AUTOPROKEY_SEKDAT_ALL
IM_IMGPROCESSOR;Image;;;IM_AUTOPROKEY_SEKDAT_HOCH
IM_IMGPROCESSOR2LICHT;Image;;;IM_AUTOPROKEY_SEKDAT_MITTEL
IM_IMGPROCESSOR2UELL;Image;;;IM_AUTOPROKEY_SEKDAT_NIEDRIG
IM_AUTOPROKEY_NK1;AutoProkey;;;
IM_AUTOPROKEY_NK2_ALL;AutoProkey;;;
IM_AUTOPROKEY_NK2_HOCH;AutoProkey;;;
IM_AUTOPROKEY_NK2_MITTEL;AutoProkey;;;
IM_AUTOPROKEY_NK2_NIEDRIG;AutoProkey;;;
IM_AUTOPROKEY_SEKDAT_ALL;AutoProkey;;;
IM_AUTOPROKEY_SEKDAT_HOCH;AutoProkey;;;
IM_AUTOPROKEY_SEKDAT_MITTEL;AutoProkey;;;
IM_AUTOPROKEY_SEKDAT_NIEDRIG;AutoProkey;;;
IMMONITORCHECK;Monitor;;;
IMMONITORMASTER;Monitor;;;
IM_IAMULTI;IA;;;
IM_MFIEXPORT;MFI;;;
IM_MFIVERIFY;MFI;;;
IM_DPCMEXPORT;DPCM;;;
IM_PDEXCHANGE;PDEX;;;
